University;City
SPb SU;Saint-Petersburg
Nizhny Novgorod SU;Nizhny Novgorod
MIPT;Moscow
SPb ITMO;Saint-Petersburg
Innopolis;Innopolis
HSE;Moscow
Belarusian SU;Minsk
Latvia;Riga
Moscow SU;Moscow
SPb HSE;Saint-Petersburg
Saratov SU;Saratov
Belarusian NTU;Minsk
Kazan FU;Kazan
Yerevan SU;Yerevan
International IT University;Almaty
Belarusian SUIR;Minsk
Perm SU;Perm
Izhevsk STU;Izhevsk
MAI;Moscow
MEPhI;Moscow
Volgograd STU;Volgograd
Ural FU;Yekaterinburg
Tbilisi Free U;Tbilisi
MISiS;Moscow
American U Central Asia;Bishkek
Perm HSE;Perm
North East FU;Yakutsk
Yaroslavl SU;Yaroslavl
Ulyanovsk STU;Ulyanovsk
Mordovian SU;Saransk
Vyatka SU;Vyatka
Kazakh-British TU;Almaty
Togliatti SU;Tolyatti
Nazarbayev U;Astana
Northern Arctic FU;Arkhangelsk
Petrozavodsk SU;Petrozavodsk
Bauman Moscow STU;Moscow
Budenny Mil Telecom A;Saint-Petersburg
Irkutsk SU;Irkutsk
Novosibirsk SU;Novosibirsk
South Ural SU;Chelyabinsk
Grodno SU;Grodno
Vilnius U;Vilnius
Penza SU;Penza
Baltic FU;Kaliningrad
Buryat SU;Ulan-Ude
Russian-Armenian Slavonick SU;Yerevan
Tyumen SU;Tyumen
Moscow PedSU;Moscow
Chelyabinsk SU;Chelyabinsk
Tashkent UIT;Tashkent
Nizhny Novgorod HSE;Nizhny Novgorod
Siberian SUTI;Novosibirsk
SPb Polytech;Saint-Petersburg
Voronezh SU;Voronezh
Vilnius Gediminas TU;Vilnius
Vologda SU;Vologda
Orenburg SU;Orenburg
Siberian FU ISIT;Krasnoyarsk
Southern FedU ICTIS;Rostov-on-Don
Bryansk STU;Bryansk
SPb ETU;Saint-Petersburg
Kazakh NU;Almaty
Brest SU;Brest
Novosibirsk STU;Novosibirsk
American U Armenia;Yerevan
Russian-Tajik Slavonic U;Dushanbe
Astana IT University;Astana
Baku Engineering U;Baku
Tbilisi SU;Tbilisi
Alatoo International U;Bishkek
Orel SU;Orel
Rubtsovsk II;Rubtsovsk
Ufa SATU;Ufa
Bashkir SU;Bashkortostan
Tashkent MSU;Tashkent
Tomsk PU;Tomsk
Samara U;Samara
Far Eastern FU;Vladivostok
Dushanbe MSU;Dushanbe
Zhukovsky MAI;Zhukovsky
Altai STU;Barnaul
Murmansk STU;Murmansk
ADA U;Baku
Novgorod SU;Novgorod
Kyrgyz-Russian Slav U;Bishkek
Komsomolsk-on-Amure STU;Komsomolsk-on-Amur
Kyrgyz STU;Bishkek
Baku HIgher Oil School;Baku
Urgench TUIT;Tashkent
French Azerbaijani U;Baku
Sevastopol SU;Sevastopol
Southern FedU;Rostov-on-Don
Omsk SU;Omsk
Uzbekistan NU;Tashkent
Tbilisi French-Georgian I;Tbilisi
Irkutsk NRTU;Irkutsk
Perm NRPU;Perm
Omsk STU;Omsk
Inha U Tashkent;Tashkent
Crimean FU Vernadsky;Simferopol
Kyrgyz-Turkish Manas U;Bishkek
Tbilisi Caucasus University;Tbilisi
Samarkand TUIT;Samarkand
East-Siberian SUTM;Ulan-Ude
Tula SU;Tula
Surgut SU;Surgut
Tbilisi International Black Sea U;Tbilisi
Turkistan KTU;Turkistan
Georgian U Patriarchy of Georgia;Tbilisi
Rybinsk S Aviation TU;Rybinsk
Kyrgyz-German I Applied Informatics;Bishkek
Suleyman Demirel U;Kaskelen
Azerbaijan State Oil&Industry U;Baku
Shadrinsk SPedU;Shadrinsk
Tbilisi San Diego SU;Tbilisi
Norilsk SII;Norilsk
Kazakh NTU;Almaty
Kutaisi SU;Kutaisi
Syktyvkar SU;Syktyvkar
Almaty U Power Eng&Telecom;Almaty
Narxoz University;Almaty
Berezniki PNRPU;Berezniki
Transbaikal SU;Chita
Novosibirsk SPedU;Novosibirsk
Andijan Machine Building Institute;Andijan
Turan U;Almaty
Almaty Mgmt U;Almaty
Tuvan SU;Kyzyl
Georgian TU;Tbilisi
Azerbaijan U;Baku
Azerbaijan TU;Baku
Azerbaijan SU Economics;Baku
Tbilisi Business&Technology U;Tbilisi
Batumi SU;Batumi
St. Petersburg SU;Saint-Petersburg
Moscow IPT;Moscow
NNSU;Nizhny Novgorod
Tolyatti SU;Tolyatti
IITU;Almaty
SDU;Kaskelen
Tbilisi Freeuni;Tbilisi
Moscow AI;Moscow
Innopolis U;Innopolis
AUCA;Bishkek
TUIT;Tashkent
BelarusianSU;Minsk
UNN;Nizhny Novgorod
AITU;Astana
BNTU;Minsk
MSU Tashkent;Tashkent
KBTU;Almaty
NU;Astana
NRU HSE;Moscow
SibSUTI;Novosibirsk
BSUIR;Minsk
MPSU;Moscow
NArFU;Arkhangelsk
Irkutsk U;Irkutsk
RAU;Yerevan
GrSU;Grodno
SFedU;Rostov-on-Don
BMSTU;Moscow
RSATU;Rybinsk
VoronezhSU;Voronezh
GSU;Gomel
KRSU;Bishkek
CFUV;Simferopol
KazNU;Almaty
ASU;Barnaul
UCA;Khorog
MordSU;Saransk
SUAI;Saint-Petersburg
Budenny MTA;Saint-Petersburg
USTU;Ukhta
MIET;Moscow
GSTU;Gomel
YarSU;Yaroslavl
SamTUIT;Samarkand
AUA;Yerevan
BrSU;Brest
NSTU;Novosibirsk
MIREA;Moscow
BelSUT;Gomel
Polytech;Moscow
BSTU;Belgorod
OmSU;Omsk
AFSO;Orel
OrelSU;Orel
Far Eastern STU;Vladivostok
BSU;Minsk
NPUA;Yerevan
TverSU;Tver
KazNTU;Almaty
KGiAI;Bishkek
TUIT Urgench Branch;Urganch
Namangan SU;Namangan
SamSU;Samara
ISRU;Irkutsk
Goris SU;Goris
IAU;Tashkent
VyatkaGU;Kirov
AIPET;Almaty
APSU;Rewa
IMCS SFU;Krasnoyarsk
Zabaikal SU;Chita
SSTU;Saratov
OshTU;Oshsk
Kyrgyz-Turkey Manas U;Bishkek
BelSTU;Minsk
RusTjkSlav;Dushanbe
MGUD;Moscow
NUUz;Tashkent
JBNUU;Jizzax
IIAU;Tashkent
AndMII;Andizhan
VSUES;Vladivostok
INRTU;Irkutsk
esstu;Ulan-Ude
EUA;Yerevan
Skoltech;Moscow
Perm SNRU;Perm
Financial U;Moscow
Kutaisi IU;Kutaisi
ADA;Baku
RosNOU;Moscow
Moscow Tech U MIREA;Moscow
South FU IMMCS;Rostov-on-Don
BryanskSTU;Bryansk
Baku HOS;Baku
TulaSU;Tula
Karaganda SU;Karaganda
SPb SU of AI;Saint-Petersburg
Mil A of Comm;Saint-Petersburg
ISPU;Ivanovo
SFU;Krasnoyarsk
MTUCI;Moscow
TIU;Tyumen
Tyumen IU;Tyumen
Tver SU;Tver
UFAZ;Baku
North-Eastern FU;Yakutsk
NewUU;Tashkent
* KazNU;Almaty
SPb SU of Telecom;Saint-Petersburg
Kutaisi ATSU;Kutaisi
Tbilisi CU;Tbilisi
Vladivostok SU;Vladivostok
Baku EU;Baku
AzSUE-UNEC;Baku
Baku SU;Baku
BukhSU;Bukhara
IBSU;Tbilisi
KyrgyzTU;Bishkek
* AIPET;Almaty
Pacific NU;Khabarovsk
Khakas TI of SFU;Abakan
ASOIU;Baku
AzTU;Baku
